PassengerId,Survived,Pclass,Sex,SibSp,Parch,Embarked,HasCabin,Title,CatAge,CatFare
1,0.0,3,male,1,0,S,False,Mr,0,0
2,1.0,1,female,1,0,C,True,Mrs,3,3
3,1.0,3,female,0,0,S,False,Miss,1,1
4,1.0,1,female,1,0,S,True,Mrs,2,3
5,0.0,3,male,0,0,S,False,Mr,2,1
6,0.0,3,male,0,0,Q,False,Mr,1,1
7,0.0,1,male,0,0,S,True,Mr,3,3
8,0.0,3,male,3,1,S,False,Master,0,2
9,1.0,3,female,0,2,S,False,Mrs,2,1
10,1.0,2,female,1,0,C,False,Mrs,0,2
11,1.0,3,female,1,1,S,True,Miss,0,2
12,1.0,1,female,0,0,S,True,Miss,3,2
13,0.0,3,male,0,0,S,False,Mr,0,1
14,0.0,3,male,1,5,S,False,Mr,3,2
15,0.0,3,female,0,0,S,False,Miss,0,0
16,1.0,2,female,0,0,S,False,Mrs,3,2
17,0.0,3,male,4,1,Q,False,Master,0,2
18,1.0,2,male,0,0,S,False,Mr,2,1
19,0.0,3,female,1,0,S,False,Mrs,2,2
20,1.0,3,female,0,0,C,False,Mrs,0,0
21,0.0,2,male,0,0,S,False,Mr,2,2
22,1.0,2,male,0,0,S,True,Mr,2,1
23,1.0,3,female,0,0,Q,False,Miss,0,1
24,1.0,1,male,0,0,S,True,Mr,2,3
25,0.0,3,female,3,1,S,False,Miss,0,2
26,1.0,3,female,1,5,S,False,Mrs,3,3
27,0.0,3,male,0,0,C,False,Mr,1,0
28,0.0,1,male,3,2,S,True,Mr,0,3
29,1.0,3,female,0,0,Q,False,Miss,0,0
30,0.0,3,male,0,0,S,False,Mr,1,0
31,0.0,1,male,0,0,C,False,Unique,3,2
32,1.0,1,female,1,0,C,True,Mrs,2,3
33,1.0,3,female,0,0,Q,False,Miss,0,0
34,0.0,2,male,0,0,S,False,Mr,3,1
35,0.0,1,male,1,0,C,False,Mr,2,3
36,0.0,1,male,1,0,S,False,Mr,3,3
37,1.0,3,male,0,0,C,False,Mr,1,0
38,0.0,3,male,0,0,S,False,Mr,0,1
39,0.0,3,female,2,0,S,False,Miss,0,2
40,1.0,3,female,1,0,C,False,Miss,0,1
41,0.0,3,female,1,0,S,False,Mrs,3,1
42,0.0,2,female,1,0,S,False,Mrs,2,2
43,0.0,3,male,0,0,C,False,Mr,1,0
44,1.0,2,female,1,2,C,False,Miss,0,3
45,1.0,3,female,0,0,Q,False,Miss,0,0
46,0.0,3,male,0,0,S,False,Mr,1,1
47,0.0,3,male,1,0,Q,False,Mr,1,2
48,1.0,3,female,0,0,Q,False,Miss,0,0
49,0.0,3,male,2,0,C,False,Mr,1,2
50,0.0,3,female,1,0,S,False,Mrs,0,2
51,0.0,3,male,4,1,S,False,Master,0,3
52,0.0,3,male,0,0,S,False,Mr,0,0
53,1.0,1,female,1,0,C,True,Mrs,3,3
54,1.0,2,female,1,0,S,False,Mrs,2,2
55,0.0,1,male,0,1,C,True,Mr,3,3
56,1.0,1,male,0,0,S,True,Mr,3,3
57,1.0,2,female,0,0,S,False,Miss,0,1
58,0.0,3,male,0,0,C,False,Mr,2,0
59,1.0,2,female,1,2,S,False,Miss,0,2
60,0.0,3,male,5,2,S,False,Master,0,3
61,0.0,3,male,0,0,C,False,Mr,0,0
62,1.0,1,female,0,0,S,True,Miss,3,3
63,0.0,1,male,1,0,S,True,Mr,3,3
64,0.0,3,male,3,2,S,False,Master,0,2
65,0.0,1,male,0,0,C,False,Mr,3,2
66,1.0,3,male,1,1,C,False,Master,1,2
67,1.0,2,female,0,0,S,True,Mrs,2,1
68,0.0,3,male,0,0,S,False,Mr,0,1
69,1.0,3,female,4,2,S,False,Miss,0,1
70,0.0,3,male,2,0,S,False,Mr,1,1
71,0.0,2,male,0,0,S,False,Mr,2,1
72,0.0,3,female,5,2,S,False,Miss,0,3
73,0.0,2,male,0,0,S,False,Mr,0,3
74,0.0,3,male,1,0,C,False,Mr,1,1
75,1.0,3,male,0,0,S,False,Mr,2,3
76,0.0,3,male,0,0,S,True,Mr,1,0
77,0.0,3,male,0,0,S,False,Mr,1,0
78,0.0,3,male,0,0,S,False,Mr,1,1
79,1.0,2,male,0,2,S,False,Master,0,2
80,1.0,3,female,0,0,S,False,Miss,2,1
81,0.0,3,male,0,0,S,False,Mr,0,1
82,1.0,3,male,0,0,S,False,Mr,2,1
83,1.0,3,female,0,0,Q,False,Miss,0,0
84,0.0,1,male,0,0,S,False,Mr,2,3
85,1.0,2,female,0,0,S,False,Miss,0,1
86,1.0,3,female,3,0,S,False,Mrs,2,2
87,0.0,3,male,1,3,S,False,Mr,0,3
88,0.0,3,male,0,0,S,False,Mr,1,1
89,1.0,1,female,3,2,S,True,Miss,1,3
90,0.0,3,male,0,0,S,False,Mr,1,1
91,0.0,3,male,0,0,S,False,Mr,2,1
92,0.0,3,male,0,0,S,False,Mr,0,0
93,0.0,1,male,1,0,S,True,Mr,3,3
94,0.0,3,male,1,2,S,False,Mr,1,2
95,0.0,3,male,0,0,S,False,Mr,3,0
96,0.0,3,male,0,0,S,False,Mr,1,1
97,0.0,1,male,0,0,C,True,Mr,3,3
98,1.0,1,male,0,1,C,True,Mr,1,3
99,1.0,2,female,0,1,S,False,Mrs,2,2
100,0.0,2,male,1,0,S,False,Mr,2,2
101,0.0,3,female,0,0,S,False,Miss,2,0
102,0.0,3,male,0,0,S,False,Mr,1,0
103,0.0,1,male,0,1,S,True,Mr,0,3
104,0.0,3,male,0,0,S,False,Mr,2,1
105,0.0,3,male,2,0,S,False,Mr,3,1
106,0.0,3,male,0,0,S,False,Mr,2,0
107,1.0,3,female,0,0,S,False,Miss,0,0
108,1.0,3,male,0,0,S,False,Mr,1,0
109,0.0,3,male,0,0,S,False,Mr,3,0
110,1.0,3,female,1,0,Q,False,Miss,0,2
111,0.0,1,male,0,0,S,True,Mr,3,3
112,0.0,3,female,1,0,C,False,Miss,0,1
113,0.0,3,male,0,0,S,False,Mr,0,1
114,0.0,3,female,1,0,S,False,Miss,0,1
115,0.0,3,female,0,0,C,False,Miss,0,2
116,0.0,3,male,0,0,S,False,Mr,0,1
117,0.0,3,male,0,0,Q,False,Mr,3,0
118,0.0,2,male,1,0,S,False,Mr,2,2
119,0.0,1,male,0,1,C,True,Mr,1,3
120,0.0,3,female,4,2,S,False,Miss,0,2
121,0.0,2,male,2,0,S,False,Mr,0,3
122,0.0,3,male,0,0,S,False,Mr,1,1
123,0.0,2,male,1,0,C,False,Mr,2,2
124,1.0,2,female,0,0,S,True,Miss,2,1
125,0.0,1,male,0,1,S,True,Mr,3,3
126,1.0,3,male,1,0,C,False,Master,0,1
127,0.0,3,male,0,0,Q,False,Mr,1,0
128,1.0,3,male,0,0,S,False,Mr,1,0
129,1.0,3,female,1,1,C,True,Miss,0,2
130,0.0,3,male,0,0,S,False,Mr,3,0
131,0.0,3,male,0,0,C,False,Mr,2,0
132,0.0,3,male,0,0,S,False,Mr,0,0
133,0.0,3,female,1,0,S,False,Mrs,3,2
134,1.0,2,female,1,0,S,False,Mrs,2,2
135,0.0,2,male,0,0,S,False,Mr,1,1
136,0.0,2,male,0,0,C,False,Mr,1,2
137,1.0,1,female,0,2,S,True,Miss,0,2
138,0.0,1,male,1,0,S,True,Mr,3,3
139,0.0,3,male,0,0,S,False,Mr,0,1
140,0.0,1,male,0,0,C,True,Mr,1,3
141,0.0,3,female,0,2,C,False,Mrs,0,2
142,1.0,3,female,0,0,S,False,Miss,0,0
143,1.0,3,female,1,0,S,False,Mrs,1,2
144,0.0,3,male,0,0,Q,False,Mr,0,0
145,0.0,2,male,0,0,S,False,Mr,0,1
146,0.0,2,male,1,1,S,False,Mr,0,3
147,1.0,3,male,0,0,S,False,Mr,2,0
148,0.0,3,female,2,2,S,False,Miss,0,3
149,0.0,2,male,0,2,S,True,Mr,3,2
150,0.0,2,male,0,0,S,False,Unique,3,1
151,0.0,2,male,0,0,S,False,Unique,3,1
152,1.0,1,female,1,0,S,True,Mrs,0,3
153,0.0,3,male,0,0,S,False,Mr,3,1
154,0.0,3,male,0,2,S,False,Mr,3,2
155,0.0,3,male,0,0,S,False,Mr,1,0
156,0.0,1,male,0,1,C,False,Mr,3,3
157,1.0,3,female,0,0,Q,False,Miss,0,0
158,0.0,3,male,0,0,S,False,Mr,2,1
159,0.0,3,male,0,0,S,False,Mr,1,1
160,0.0,3,male,8,2,S,False,Master,1,3
161,0.0,3,male,0,1,S,False,Mr,3,2
162,1.0,2,female,0,0,S,False,Mrs,3,2
163,0.0,3,male,0,0,S,False,Mr,1,0
164,0.0,3,male,0,0,S,False,Mr,0,1
165,0.0,3,male,4,1,S,False,Master,0,3
166,1.0,3,male,0,2,S,False,Master,0,2
167,1.0,1,female,0,1,S,True,Mrs,2,3
168,0.0,3,female,1,4,S,False,Mrs,3,2
169,0.0,1,male,0,0,S,False,Mr,3,2
170,0.0,3,male,0,0,S,False,Mr,2,3
171,0.0,1,male,0,0,S,True,Mr,3,3
172,0.0,3,male,4,1,Q,False,Master,0,2
173,1.0,3,female,1,1,S,False,Miss,0,1
174,0.0,3,male,0,0,S,False,Mr,0,1
175,0.0,1,male,0,0,C,True,Mr,3,2
176,0.0,3,male,1,1,S,False,Mr,0,0
177,0.0,3,male,3,1,S,False,Master,1,2
178,0.0,1,female,0,0,C,True,Miss,3,2
179,0.0,2,male,0,0,S,False,Mr,2,1
180,0.0,3,male,0,0,S,False,Mr,2,0
181,0.0,3,female,8,2,S,False,Miss,0,3
182,0.0,2,male,0,0,C,False,Mr,2,2
183,0.0,3,male,4,2,S,False,Master,0,3
184,1.0,2,male,2,1,S,True,Master,0,3
185,1.0,3,female,0,2,S,False,Miss,0,2
186,0.0,1,male,0,0,S,True,Mr,3,3
187,1.0,3,female,1,0,Q,False,Mrs,0,2
188,1.0,1,male,0,0,S,False,Mr,3,2
189,0.0,3,male,1,1,Q,False,Mr,3,2
190,0.0,3,male,0,0,S,False,Mr,2,0
191,1.0,2,female,0,0,S,False,Mrs,2,1
192,0.0,2,male,0,0,S,False,Mr,0,1
193,1.0,3,female,1,0,S,False,Miss,0,0
194,1.0,2,male,1,1,S,True,Master,0,2
195,1.0,1,female,0,0,C,True,Mrs,3,2
196,1.0,1,female,0,0,C,True,Miss,3,3
197,0.0,3,male,0,0,Q,False,Mr,1,0
198,0.0,3,male,0,1,S,False,Mr,3,1
199,1.0,3,female,0,0,Q,False,Miss,0,0
200,0.0,2,female,0,0,S,False,Miss,1,1
201,0.0,3,male,0,0,S,False,Mr,2,1
202,0.0,3,male,8,2,S,False,Mr,1,3
203,0.0,3,male,0,0,S,False,Mr,2,0
204,0.0,3,male,0,0,C,False,Mr,3,0
205,1.0,3,male,0,0,S,False,Mr,0,1
206,0.0,3,female,0,1,S,True,Miss,0,1
207,0.0,3,male,1,0,S,False,Mr,2,2
208,1.0,3,male,0,0,C,False,Mr,1,2
209,1.0,3,female,0,0,Q,False,Miss,0,0
210,1.0,1,male,0,0,C,True,Mr,3,2
211,0.0,3,male,0,0,S,False,Mr,1,0
212,1.0,2,female,0,0,S,False,Miss,2,2
213,0.0,3,male,0,0,S,False,Mr,0,0
214,0.0,2,male,0,0,S,False,Mr,2,1
215,0.0,3,male,1,0,Q,False,Mr,1,0
216,1.0,1,female,1,0,C,True,Miss,2,3
217,1.0,3,female,0,0,S,False,Miss,2,1
218,0.0,2,male,1,0,S,False,Mr,3,2
219,1.0,1,female,0,0,C,True,Miss,2,3
220,0.0,2,male,0,0,S,False,Mr,2,1
221,1.0,3,male,0,0,S,False,Mr,0,1
222,0.0,2,male,0,0,S,False,Mr,2,1
223,0.0,3,male,0,0,S,False,Mr,3,1
224,0.0,3,male,0,0,S,False,Mr,1,0
225,1.0,1,male,1,0,S,True,Mr,3,3
226,0.0,3,male,0,0,S,False,Mr,0,1
227,1.0,2,male,0,0,S,False,Mr,0,1
228,0.0,3,male,0,0,S,False,Mr,0,0
229,0.0,2,male,0,0,S,False,Mr,0,1
230,0.0,3,female,3,1,S,False,Miss,0,2
231,1.0,1,female,1,0,S,True,Mrs,2,3
232,0.0,3,male,0,0,S,False,Mr,2,0
233,0.0,2,male,0,0,S,False,Mr,3,1
234,1.0,3,female,4,2,S,False,Miss,0,3
235,0.0,2,male,0,0,S,False,Mr,1,1
236,0.0,3,female,0,0,S,False,Miss,0,0
237,0.0,2,male,1,0,S,False,Mr,3,2
238,1.0,2,female,0,2,S,False,Miss,0,2
239,0.0,2,male,0,0,S,False,Mr,0,1
240,0.0,2,male,0,0,S,False,Mr,2,1
241,0.0,3,female,1,0,C,False,Miss,0,1
242,1.0,3,female,1,0,Q,False,Miss,0,2
243,0.0,2,male,0,0,S,False,Mr,2,1
244,0.0,3,male,0,0,S,False,Mr,0,0
245,0.0,3,male,0,0,C,False,Mr,2,0
246,0.0,1,male,2,0,Q,True,Unique,3,3
247,0.0,3,female,0,0,S,False,Miss,1,0
248,1.0,2,female,0,2,S,False,Mrs,1,2
249,1.0,1,male,1,1,S,True,Mr,3,3
250,0.0,2,male,1,0,S,False,Unique,3,2
251,0.0,3,male,0,0,S,False,Mr,1,0
252,0.0,3,female,1,1,S,True,Mrs,2,1
253,0.0,1,male,0,0,S,True,Mr,3,2
254,0.0,3,male,1,0,S,False,Mr,2,2
255,0.0,3,female,0,2,S,False,Mrs,3,2
256,1.0,3,female,0,2,C,False,Mrs,2,2
257,1.0,1,female,0,0,C,False,Mrs,2,3
258,1.0,1,female,0,0,S,True,Miss,2,3
259,1.0,1,female,0,0,C,False,Miss,2,3
260,1.0,2,female,0,1,S,False,Mrs,3,2
261,0.0,3,male,0,0,Q,False,Mr,1,0
262,1.0,3,male,4,2,S,False,Master,0,3
263,0.0,1,male,1,1,S,True,Mr,3,3
264,0.0,1,male,0,0,S,True,Mr,3,0
265,0.0,3,female,0,0,Q,False,Miss,0,0
266,0.0,2,male,0,0,S,False,Mr,2,1
267,0.0,3,male,4,1,S,False,Mr,0,3
268,1.0,3,male,1,0,S,False,Mr,1,0
269,1.0,1,female,0,1,S,True,Mrs,3,3
270,1.0,1,female,0,0,S,True,Miss,2,3
271,0.0,1,male,0,0,S,False,Mr,3,2
272,1.0,3,male,0,0,S,False,Mr,1,0
273,1.0,2,female,0,1,S,False,Mrs,3,2
274,0.0,1,male,0,1,C,True,Mr,3,2
275,1.0,3,female,0,0,Q,False,Miss,0,0
276,1.0,1,female,1,0,S,True,Miss,3,3
277,0.0,3,female,0,0,S,False,Miss,3,0
278,0.0,2,male,0,0,S,False,Mr,2,0
279,0.0,3,male,4,1,Q,False,Master,0,2
280,1.0,3,female,1,1,S,False,Mrs,2,2
281,0.0,3,male,0,0,Q,False,Mr,3,0
282,0.0,3,male,0,0,S,False,Mr,2,0
283,0.0,3,male,0,0,S,False,Mr,0,1
284,1.0,3,male,0,0,S,False,Mr,0,1
285,0.0,1,male,0,0,S,True,Mr,3,2
286,0.0,3,male,0,0,C,False,Mr,2,1
287,1.0,3,male,0,0,S,False,Mr,2,1
288,0.0,3,male,0,0,S,False,Mr,0,0
289,1.0,2,male,0,0,S,False,Mr,3,1
290,1.0,3,female,0,0,Q,False,Miss,0,0
291,1.0,1,female,0,0,S,False,Miss,1,3
292,1.0,1,female,1,0,C,True,Mrs,0,3
293,0.0,2,male,0,0,C,True,Mr,2,1
294,0.0,3,female,0,0,S,False,Miss,1,1
295,0.0,3,male,0,0,S,False,Mr,1,0
296,0.0,1,male,0,0,C,False,Mr,3,2
297,0.0,3,male,0,0,C,False,Mr,1,0
298,0.0,1,female,1,2,S,True,Miss,0,3
299,1.0,1,male,0,0,S,True,Mr,3,2
300,1.0,1,female,0,1,C,True,Mrs,3,3
301,1.0,3,female,0,0,Q,False,Miss,0,0
302,1.0,3,male,2,0,Q,False,Mr,1,2
303,0.0,3,male,0,0,S,False,Mr,0,0
304,1.0,2,female,0,0,Q,True,Miss,2,1
305,0.0,3,male,0,0,S,False,Mr,1,1
306,1.0,1,male,1,2,S,True,Master,0,3
307,1.0,1,female,0,0,C,False,Miss,2,3
308,1.0,1,female,1,0,C,True,Mrs,0,3
309,0.0,2,male,1,0,C,False,Mr,2,2
310,1.0,1,female,0,0,C,True,Miss,2,3
311,1.0,1,female,0,0,C,True,Miss,1,3
312,1.0,1,female,2,2,C,True,Miss,0,3
313,0.0,2,female,1,1,S,False,Mrs,1,2
314,0.0,3,male,0,0,S,False,Mr,2,0
315,0.0,2,male,1,1,S,False,Mr,3,2
316,1.0,3,female,0,0,S,False,Miss,1,0
317,1.0,2,female,1,0,S,False,Mrs,1,2
318,0.0,2,male,0,0,S,False,Unique,3,1
319,1.0,1,female,0,2,S,True,Miss,2,3
320,1.0,1,female,1,1,C,True,Mrs,3,3
321,0.0,3,male,0,0,S,False,Mr,0,0
322,0.0,3,male,0,0,S,False,Mr,2,0
323,1.0,2,female,0,0,Q,False,Miss,2,1
324,1.0,2,female,1,1,S,False,Mrs,0,2
325,0.0,3,male,8,2,S,False,Mr,1,3
326,1.0,1,female,0,0,C,True,Miss,2,3
327,0.0,3,male,0,0,S,False,Mr,3,0
328,1.0,2,female,0,0,S,True,Mrs,2,1
329,1.0,3,female,1,1,S,False,Mrs,2,2
330,1.0,1,female,0,1,C,True,Miss,0,3
331,1.0,3,female,2,0,Q,False,Miss,0,2
332,0.0,1,male,0,0,S,True,Mr,3,2
333,0.0,1,male,0,1,S,True,Mr,3,3
334,0.0,3,male,2,0,S,False,Mr,0,2
335,1.0,1,female,1,0,S,False,Mrs,2,3
336,0.0,3,male,0,0,S,False,Mr,1,0
337,0.0,1,male,1,0,S,True,Mr,2,3
338,1.0,1,female,0,0,C,True,Miss,3,3
339,1.0,3,male,0,0,S,False,Mr,3,1
340,0.0,1,male,0,0,S,True,Mr,3,3
341,1.0,2,male,1,1,S,True,Master,0,2
342,1.0,1,female,3,2,S,True,Miss,1,3
343,0.0,2,male,0,0,S,False,Mr,2,1
344,0.0,2,male,0,0,S,False,Mr,1,1
345,0.0,2,male,0,0,S,False,Mr,2,1
346,1.0,2,female,0,0,S,True,Miss,1,1
347,1.0,2,female,0,0,S,False,Miss,3,1
348,1.0,3,female,1,0,S,False,Mrs,0,2
349,1.0,3,male,1,1,S,False,Master,0,2
350,0.0,3,male,0,0,S,False,Mr,3,1
351,0.0,3,male,0,0,S,False,Mr,1,1
352,0.0,1,male,0,0,S,True,Mr,3,3
353,0.0,3,male,1,1,C,False,Mr,0,0
354,0.0,3,male,1,0,S,False,Mr,1,2
355,0.0,3,male,0,0,C,False,Mr,1,0
356,0.0,3,male,0,0,S,False,Mr,2,1
357,1.0,1,female,0,1,S,True,Miss,0,3
358,0.0,2,female,0,0,S,False,Miss,3,1
359,1.0,3,female,0,0,Q,False,Miss,0,0
360,1.0,3,female,0,0,Q,False,Miss,0,0
361,0.0,3,male,1,4,S,False,Mr,3,2
362,0.0,2,male,1,0,C,False,Mr,2,2
363,0.0,3,female,0,1,C,False,Mrs,3,1
364,0.0,3,male,0,0,S,False,Mr,2,0
365,0.0,3,male,1,0,Q,False,Mr,1,2
366,0.0,3,male,0,0,S,False,Mr,2,0
367,1.0,1,female,1,0,C,True,Mrs,3,3
368,1.0,3,female,0,0,C,False,Mrs,0,0
369,1.0,3,female,0,0,Q,False,Miss,0,0
370,1.0,1,female,0,0,C,True,Mr,1,3
371,1.0,1,male,1,0,C,True,Mr,1,3
372,0.0,3,male,1,0,S,False,Mr,0,0
373,0.0,3,male,0,0,S,False,Mr,0,1
374,0.0,1,male,0,0,C,False,Mr,0,3
375,0.0,3,female,3,1,S,False,Miss,0,2
376,1.0,1,female,1,0,C,False,Mrs,2,3
377,1.0,3,female,0,0,S,False,Miss,0,0
378,0.0,1,male,0,2,C,True,Mr,2,3
379,0.0,3,male,0,0,C,False,Mr,0,0
380,0.0,3,male,0,0,S,False,Mr,0,0
